# SYNTHETIC ambient-noise recording (site A, f0 = 2.5 Hz) — QuakeLogic HVSR Studio example, NOT field data
# model: 1-DOF resonant amplification, f0 = 2.5 Hz, A0 = 5.00, damping = 0.1021
# sample_rate = 100 Hz, start = 2025-01-01T00:00:00.000000Z, units = counts
time_s	north	east	vertical
0.82	-75.1016	6.2312	-67.2405
0.83	-67.5950	-9.5670	128.6643
0.84	-55.0580	-25.8019	-68.5639
0.85	-51.8813	-41.7941	-74.2694
0.86	-56.6852	-56.6211	-128.9240
0.87	-56.7594	-69.8684	191.0276
0.88	-45.9883	-76.2339	56.1249
0.89	-33.7161	-77.2753	59.5095
0.90	-24.5094	-74.9643	-70.9618
0.91	-20.0293	-76.4600	82.0886
0.92	-14.4070	-69.5408	-40.8499
0.93	-9.1399	-60.5377	-35.1705
0.94	-11.8292	-47.2252	-13.7614
0.95	-12.4801	-33.1308	-83.8661
0.96	-10.5604	-17.9032	50.4929
0.97	-10.0747	-4.7008	21.5578
0.98	-6.7689	5.9212	-16.6700
0.99	-3.5132	16.7575	-80.9635
1.00	-7.4029	31.6882	74.0384
1.01	-11.5975	40.1216	32.2358
1.02	-14.0080	45.9106	-95.3583
1.03	-17.2001	50.3752	-200.8352
1.04	-15.6729	55.0975	-36.7480
1.05	-10.6222	56.2907	75.8971
1.06	-9.7271	51.6876	-129.3157
1.07	-5.3601	48.5071	41.3512
1.08	-5.1229	41.8508	-80.5916
1.09	-0.8301	33.6409	109.7579
1.10	-2.7831	23.3441	168.7821
1.11	2.3473	13.2951	64.7995
1.12	7.4118	1.8427	-28.8617
1.13	13.7462	-14.0331	73.2157
1.14	22.5838	-21.7863	-180.7561
1.15	23.3750	-27.3760	28.3341
1.16	28.9101	-37.5582	81.1271
1.17	30.4993	-46.1686	111.5683
1.18	20.3066	-50.2447	95.1504
1.19	12.2800	-50.5008	9.4256
1.20	6.4229	-49.2171	-17.0890
1.21	3.1038	-48.9689	-73.8937
1.22	-0.4534	-40.7791	-57.3740
1.23	-8.6032	-30.4029	-62.7595
1.24	-17.3157	-19.2393	6.2026
1.25	-18.8184	-5.8783	10.3894
1.26	-24.5924	6.9837	-51.4072
1.27	-31.6214	17.0633	58.9674
1.28	-32.1580	29.4548	137.0403
1.29	-27.2646	38.2087	-2.6375
1.30	-28.6376	47.1086	-78.7564
1.31	-30.9457	51.3753	-222.4810
1.32	-33.0556	60.2535	32.0857
1.33	-33.4581	68.5200	73.9772
1.34	-30.0920	74.1731	-120.4814
1.35	-25.9708	78.5429	149.0701
1.36	-27.9186	77.1522	-31.7542
1.37	-24.6140	71.9253	5.0000
1.38	-18.2788	61.8062	-62.3049
1.39	-7.6277	41.5509	-115.6955
1.40	1.1285	22.7211	68.7345
1.41	1.5394	4.6842	-109.9409
1.42	6.1290	-14.8312	25.8151
1.43	11.3358	-28.2210	150.0861
1.44	12.0026	-43.9333	7.4562
1.45	16.9853	-57.3250	97.0968
1.46	16.0995	-62.9959	118.0545
1.47	18.7988	-61.6636	-81.4713
1.48	24.0722	-55.5503	-117.6626
1.49	25.2872	-53.3108	-149.5704
1.50	24.2575	-50.4647	63.4810
1.51	24.7580	-45.0570	-32.6693
1.52	21.4667	-39.4340	-112.1851
1.53	12.3365	-33.9501	-31.5029
1.54	2.7238	-23.5805	84.3034
1.55	-13.9125	-10.1757	90.5514
1.56	-29.4459	1.2909	-137.0883
1.57	-35.3407	14.2156	31.2503
1.58	-37.0323	26.8633	67.2946
1.59	-40.5912	34.5617	-70.0709
1.60	-49.7201	38.6281	-18.2307
1.61	-48.4594	43.4105	72.4597
1.62	-50.8151	40.6633	-57.9935
1.63	-48.9643	35.7647	97.8336
1.64	-47.7240	35.8107	183.8951
1.65	-49.7818	34.9310	-189.4095
1.66	-53.8020	35.4374	167.2483
1.67	-55.9380	35.5524	119.7027
1.68	-61.6138	29.7751	61.0758
1.69	-61.8684	22.1076	-102.7582
1.70	-61.2695	16.6367	-27.8291
1.71	-62.6320	11.0452	-85.3145
1.72	-64.4561	14.2913	35.5795
1.73	-59.3455	16.7712	214.6228
1.74	-49.6278	17.4702	0.2247
1.75	-45.3685	21.3767	0.7791
1.76	-31.1975	16.6295	16.6565
1.77	-17.5049	11.8064	-217.7980
1.78	-11.5993	4.9981	130.6029
1.79	-3.5524	-7.6291	84.1950
1.80	-0.3557	-20.7412	103.7877
1.81	4.8235	-34.3730	-92.0388
1.82	12.6002	-44.6096	31.6953
1.83	18.1664	-50.5742	-18.9757
1.84	28.7590	-53.0315	-126.3234
1.85	35.7287	-58.0800	-154.2855
1.86	44.4256	-63.5626	34.9392
1.87	52.1747	-61.9247	141.9456
1.88	58.3785	-54.9300	-77.7755
1.89	64.7337	-44.7626	-78.4577
1.90	59.8982	-35.9550	175.2427
1.91	61.4824	-27.0568	85.5536
1.92	57.1321	-22.1291	80.6860
1.93	48.0336	-22.7892	-37.7954
1.94	41.4576	-27.2995	-49.5129
1.95	31.2811	-29.7286	-3.1975
1.96	17.9295	-38.6986	59.6697
1.97	8.0726	-43.6624	107.9278
1.98	-1.9411	-49.9991	-161.9366
1.99	-15.9382	-51.9894	84.5690
2.00	-21.8286	-43.3793	-183.6810
2.01	-30.4854	-34.0790	134.7030
2.02	-38.6456	-22.8865	-83.0021
2.03	-44.2893	-5.0437	39.1930
2.04	-47.0996	12.8036	0.7647
2.05	-55.7993	30.4827	-85.8924
2.06	-62.8685	36.8610	-38.5042
2.07	-67.1231	44.9829	85.9240
2.08	-73.6050	54.3970	88.3052
2.09	-76.2621	63.6651	180.9110
2.10	-76.4595	71.2132	-13.2573
2.11	-68.3316	81.6948	-64.2655
2.12	-56.7344	88.7906	-83.6172
2.13	-45.6525	98.8159	-57.5650
2.14	-32.9132	105.3170	-78.7573
2.15	-16.0541	104.6540	0.6017
2.16	-5.3491	97.8262	-42.1360
2.17	1.8932	98.6350	101.1316
2.18	6.8370	97.5426	65.9176
2.19	11.4632	89.3885	-8.6094
2.20	21.3278	74.8611	54.4431
2.21	33.2351	56.3889	50.3549
2.22	38.8961	39.3737	-259.0740
2.23	44.3963	22.2374	-0.0760
2.24	48.9569	16.5901	204.1430
2.25	49.7390	15.9747	-72.4656
2.26	49.5063	9.0246	147.0781
2.27	42.0270	-3.8312	-30.9306
2.28	30.1709	-10.6969	-58.4985
2.29	17.7345	-17.6380	-23.8285
2.30	5.5271	-33.1904	20.5004
2.31	-6.5245	-45.7120	-20.6329
2.32	-18.9581	-53.8180	-9.7200
2.33	-33.2401	-68.1719	-23.5335
2.34	-43.4498	-78.4531	164.6638
2.35	-53.9079	-84.0145	-217.7250
2.36	-54.5535	-93.0758	67.2498
2.37	-56.8666	-94.2383	-100.0390
2.38	-57.6317	-94.4763	40.8919
2.39	-57.1405	-96.4203	-74.9061
2.40	-52.8241	-98.9025	-28.9713
2.41	-48.5746	-91.2706	-127.1636
2.42	-41.8264	-85.3032	104.7464
2.43	-31.6307	-76.8563	-147.3792
2.44	-29.4004	-64.1018	104.4211
2.45	-27.5837	-48.2985	47.3631
2.46	-22.2648	-35.4506	35.3170
2.47	-16.1734	-20.4244	-7.4199
2.48	-6.1754	-3.1045	-18.7402
2.49	3.1709	9.6715	-136.6375
2.50	11.9471	19.8851	-144.1448
2.51	20.7272	36.0748	-94.8891
2.52	27.3924	54.8977	71.0500
2.53	29.6300	70.4084	-177.2556
2.54	27.2156	85.4344	33.7995
2.55	26.0278	99.9675	28.2406
2.56	19.2522	116.5666	75.2112
2.57	7.5823	125.7222	-38.5139
2.58	-2.9280	129.8051	-57.7556
2.59	-15.1307	135.0928	-126.5781
2.60	-26.3896	137.1030	61.4104
2.61	-38.6404	129.6549	23.6752
2.62	-48.2394	116.9832	48.0321
2.63	-54.9928	105.5079	10.5790
2.64	-56.6647	90.0542	-126.9671
2.65	-62.1956	72.4977	99.5003
2.66	-63.3741	60.1108	123.4802
2.67	-67.5932	40.4064	159.8913
2.68	-75.8866	14.4007	149.0037
2.69	-78.1937	-10.4625	96.0160
2.70	-72.5310	-37.9020	-100.4437
2.71	-68.1062	-55.9920	180.0827
2.72	-59.1356	-74.1069	158.2787
2.73	-47.6450	-95.8332	74.8621
2.74	-38.5565	-104.7862	-68.8831
2.75	-27.9797	-112.3022	80.2514
2.76	-22.4570	-116.3807	-110.8968
2.77	-16.9903	-123.0434	-94.1472
2.78	-6.4690	-126.7956	-99.5056
2.79	0.3874	-122.8854	-86.2158
2.80	7.8034	-120.1186	16.8449
2.81	12.5390	-110.8771	42.9799
2.82	12.0703	-96.0661	91.1577
2.83	6.4281	-74.3759	143.3607
2.84	11.0984	-52.0133	-36.6919
2.85	19.6663	-26.7340	-91.0374
2.86	26.2568	-10.1599	173.7519
2.87	27.6186	12.0741	-132.6486
2.88	27.3316	34.1641	-187.4312
2.89	28.9877	53.8898	125.4767
2.90	29.4169	67.5259	-74.3448
2.91	30.7855	79.0606	33.1773
2.92	30.9562	95.4125	-79.5446
2.93	28.5514	100.0569	-15.3830
2.94	31.4702	102.1909	1.1887
2.95	28.7208	103.7472	12.6761
2.96	25.3850	101.1868	48.6850
2.97	21.0002	99.3021	-57.4139
2.98	20.2493	95.7285	-24.0163
2.99	19.0294	84.6497	-45.5874
3.00	17.4742	71.8735	-18.4264
3.01	21.7967	55.6604	142.4586
3.02	27.5103	36.1212	-167.7194
3.03	17.9506	20.2423	-68.4515
3.04	11.3878	4.2684	-32.8836
3.05	2.8782	-14.2938	-71.9531
3.06	-5.1436	-25.8400	92.1649
3.07	-15.7143	-32.2741	-131.1038
3.08	-28.4561	-39.6755	61.2045
3.09	-34.7806	-43.9798	59.5183
3.10	-34.9249	-46.9736	-74.8323
3.11	-37.1124	-52.3521	-122.3948
3.12	-42.6056	-57.7093	45.0889
3.13	-44.0706	-53.0606	-2.4599
3.14	-38.0796	-54.8545	82.7518
3.15	-30.9887	-57.1516	-15.8642
3.16	-31.1563	-53.3886	-39.0937
3.17	-26.7857	-47.6051	90.3447
3.18	-19.2099	-42.3247	-91.2560
3.19	-17.3348	-42.0975	77.8958
3.20	-13.0215	-40.5255	-97.5924
3.21	-7.7711	-40.8021	-51.3222
3.22	-11.4740	-43.8205	89.2030
3.23	-7.9912	-45.8041	96.2703
3.24	-5.9104	-45.3709	13.3615
3.25	-2.8760	-53.5204	-76.1787
3.26	-1.0064	-58.9814	-64.8919
3.27	-1.1189	-62.1138	-199.6237
3.28	3.5710	-63.8291	136.0083
3.29	10.2418	-67.0200	-63.7717
3.30	19.5936	-67.2270	62.7957
3.31	22.9534	-62.4366	-61.2681
3.32	26.6130	-54.7539	-148.1667
3.33	30.9217	-50.6218	78.3059
3.34	36.7353	-47.9741	60.8600
3.35	35.0302	-35.8478	67.7177
3.36	40.5350	-20.5074	-104.7531
3.37	48.0184	-8.4815	7.9109
3.38	55.7427	4.3670	131.2839
3.39	59.6335	18.4467	208.9418
3.40	62.8916	33.5128	-44.7529
3.41	64.6770	42.8901	-31.8633
3.42	57.7676	57.5364	93.9877
3.43	46.8511	75.1162	110.4617
3.44	38.1956	81.3936	182.5128
3.45	34.5090	89.8126	-46.9119
3.46	24.4248	100.7565	51.8211
3.47	12.9747	103.8769	123.9105
3.48	1.6074	111.8733	-80.9777
3.49	-3.5764	113.9376	-151.3215
3.50	-12.0572	104.1422	38.4370
3.51	-22.3396	91.0728	40.2718
3.52	-22.8020	80.2148	53.3128
3.53	-26.4111	69.4155	-81.4089
3.54	-31.8887	53.4100	-28.7286
3.55	-35.2847	43.9116	134.2759
3.56	-36.2383	25.7375	223.9179
3.57	-38.4652	9.5924	-30.0815
3.58	-38.7911	-5.3360	-25.8896
3.59	-47.3330	-21.6195	29.6903
3.60	-49.1925	-41.3143	-38.8510
3.61	-42.1185	-55.7429	94.8504
3.62	-39.0441	-64.0559	-39.3808
3.63	-31.9961	-69.5995	191.4165
3.64	-22.8398	-69.8574	-61.6553
3.65	-7.4951	-70.6275	173.8240
3.66	3.1130	-67.7994	39.1506
3.67	11.2395	-65.8727	0.7922
3.68	19.3275	-61.3061	-71.7452
3.69	29.7027	-63.8573	30.7490
3.70	37.9379	-68.3669	40.3495
3.71	44.2854	-68.3942	-67.2820
3.72	50.5232	-62.8496	184.4880
3.73	59.4269	-57.6777	-82.1735
3.74	63.0707	-53.8026	-170.5252
3.75	56.7557	-42.2459	94.3193
3.76	56.8691	-31.7743	-49.6723
3.77	54.4542	-19.3594	-0.2202
3.78	54.3509	-7.4772	65.6479
3.79	47.4989	3.6086	88.0176
3.80	41.5371	20.3239	127.6082
3.81	37.0232	33.9059	-76.1974
3.82	30.9004	42.1756	80.1528
3.83	17.5431	48.9665	40.2823
3.84	5.7664	53.3855	-60.0457
3.85	-5.1549	57.7993	144.2419
3.86	-17.7954	50.2020	54.6616
3.87	-22.5092	46.4678	-60.8921
3.88	-25.2864	39.4219	-153.9238
3.89	-28.5212	34.1751	-4.5489
3.90	-30.5477	24.9222	75.7417
3.91	-29.5255	19.9864	-65.6637
3.92	-21.5916	15.6453	95.0999
3.93	-13.5441	8.7981	-103.6530
3.94	-5.6863	4.9121	-20.6535
3.95	4.4558	0.5097	6.2006
3.96	10.7145	-7.2101	10.8378
3.97	18.2543	-13.0904	-12.3922
3.98	26.7649	-25.5425	35.4638
3.99	31.8284	-39.3538	-144.1819
4.00	30.4215	-48.5782	-68.9247
4.01	29.6508	-55.3857	123.7060
4.02	30.8577	-62.0449	-32.8570
4.03	24.2436	-71.2747	-105.5128
4.04	16.9268	-80.5369	109.4046
4.05	12.2009	-94.2076	-8.4410
4.06	5.7139	-107.7217	98.4245
4.07	-5.6565	-107.8959	23.0957
4.08	-8.5476	-99.2185	-52.1118
4.09	-17.0551	-87.1768	-73.8407
4.10	-27.6113	-79.7394	-50.7209
4.11	-40.4381	-68.8090	132.4609
4.12	-44.0434	-61.8430	-86.9914
4.13	-44.8804	-44.7369	118.0540
4.14	-45.8565	-23.4025	-10.4707
4.15	-39.9791	-7.8993	-112.0902
4.16	-36.9723	3.1584	116.2466
4.17	-38.8348	14.3461	134.9033
4.18	-32.5802	21.0496	-61.0499
4.19	-27.6366	19.6538	6.9436
4.20	-20.4775	21.5249	-17.4674
4.21	-12.1082	21.4029	103.5763
4.22	-11.3224	22.0576	-68.2533
4.23	-11.9961	18.7103	175.1561
4.24	-9.2283	23.7889	-172.2781
4.25	-5.8832	29.3187	-59.3536
4.26	-2.3869	35.1173	-12.7458
4.27	1.8110	40.7521	54.0842
4.28	-3.0212	47.7262	-195.6188
4.29	0.7071	54.8351	-63.2301
4.30	-0.1601	58.9461	-58.8865
4.31	-6.7056	61.1393	-16.1991
4.32	-8.5366	63.6748	139.6736
4.33	-16.4940	62.2756	19.1787
4.34	-21.7469	57.3863	-13.8782
4.35	-31.1384	48.5966	22.2930
4.36	-38.9300	50.2452	146.5334
4.37	-40.3640	43.2084	-93.5937
4.38	-39.5518	32.9044	-47.4361
4.39	-34.3910	30.4927	-34.9056
4.40	-33.8745	28.5624	-65.6605
4.41	-31.6709	28.1452	-63.5008
4.42	-28.6743	30.3599	46.3175
4.43	-32.1519	31.3004	-81.7939
4.44	-29.0878	28.0536	112.5291
4.45	-17.3946	22.6537	107.5413
4.46	-7.9649	25.3329	19.0596
4.47	5.7740	24.9975	-18.1849
4.48	19.3025	16.0893	59.8889
4.49	30.9604	16.5785	168.2786
4.50	41.7325	13.7913	-47.0566
4.51	47.5154	8.8530	53.1057
4.52	52.9016	3.7323	30.2578
4.53	60.7554	-3.6168	292.5483
4.54	68.3357	-10.6054	159.5777
4.55	71.1112	-12.9503	15.7013
4.56	78.1725	-13.8564	-13.0354
4.57	75.2579	-19.3981	-48.5633
4.58	65.6532	-26.6068	76.4701
4.59	50.0602	-27.7496	-58.9176
4.60	39.8746	-26.6020	7.7037
4.61	30.1717	-25.3029	-23.4657
4.62	24.0167	-31.3627	-54.3379
4.63	20.3572	-39.0667	-150.4212
4.64	16.3456	-42.5861	89.8041
4.65	16.8342	-40.5332	70.9255
4.66	11.3524	-45.9065	27.6379
4.67	6.6556	-55.9257	-116.9013
4.68	3.3904	-58.4493	74.6212
4.69	-6.0182	-56.7530	-99.4162
4.70	-17.4475	-52.7729	-183.9147
4.71	-28.2240	-47.0104	10.8070
4.72	-37.6788	-46.6391	80.1190
4.73	-42.4307	-48.1593	-158.6284
4.74	-44.7787	-47.7278	133.3203
4.75	-40.5862	-40.1844	-268.1248
4.76	-35.9189	-33.8289	-55.0659
4.77	-40.8379	-27.4043	68.4997
4.78	-32.7029	-29.4933	-42.7950
4.79	-21.4822	-29.0272	59.1543
4.80	-16.8435	-22.1132	101.9001
4.81	-15.2118	-14.6755	15.6117
4.82	-13.8175	-4.8663	-130.1314
4.83	-15.7303	8.0373	17.1682
4.84	-11.3696	20.9862	244.8115
4.85	-5.7622	31.3734	-7.3940
4.86	-8.9866	42.1380	-34.4249
4.87	-5.5587	52.7489	-149.5887
4.88	0.6484	62.2038	-38.8194
4.89	6.5593	67.8160	80.9346
4.90	10.7932	74.8246	-152.0242
4.91	16.3411	76.7663	21.6765
4.92	21.3601	74.3728	239.8306
4.93	23.4407	76.4169	-57.8404
4.94	30.5153	75.8390	98.4700
4.95	33.0047	70.5984	-27.0303
4.96	34.7148	62.7738	67.3741
4.97	34.9383	53.1997	-107.0309
4.98	40.3031	42.7430	36.0681
4.99	39.8672	35.0285	-13.8098
5.00	40.6491	33.5725	69.0636
5.01	36.5445	23.2438	-77.0875
5.02	33.5725	12.8344	3.4504
5.03	36.0424	3.8812	44.3919
5.04	41.2027	-4.4222	-42.8326
5.05	44.9407	-10.6658	210.9819
5.06	48.8853	-17.3857	162.8839
5.07	48.6479	-25.9619	66.1647
5.08	43.2833	-44.6315	182.6908
5.09	38.5398	-59.4117	-30.4691
5.10	32.2222	-67.9836	-20.6699
5.11	26.9241	-80.9792	177.4451
5.12	22.5625	-94.8445	-132.4847
5.13	12.7360	-105.0905	54.0157
5.14	6.4503	-114.6884	-181.9976
5.15	2.3951	-116.3063	-140.0185
5.16	-5.0397	-111.3528	-30.9443
5.17	-16.5773	-98.8692	5.7108
5.18	-33.3414	-87.8620	136.2711
5.19	-48.5795	-79.2121	-6.8496
5.20	-59.4374	-68.7827	-60.1981
5.21	-71.7601	-55.3540	43.3468
5.22	-86.5364	-36.0171	-1.4891
5.23	-93.6200	-20.5129	102.6498
5.24	-100.1164	-8.7558	-81.9619
5.25	-104.9303	-2.8040	-154.9298
5.26	-103.3008	13.1455	90.5481
5.27	-96.8296	21.9341	16.3674
5.28	-97.3627	37.3224	75.7803
5.29	-96.0785	57.4895	18.1574
5.30	-93.7157	71.9652	-76.7439
5.31	-89.9316	82.5751	51.4960
5.32	-82.0826	88.5970	-18.8443
5.33	-68.3308	97.8496	-35.3310
5.34	-53.4999	99.7645	-67.2585
5.35	-34.4563	102.2339	-157.8949
5.36	-12.9590	99.7835	-19.9332
5.37	9.1486	94.7208	-37.5416
5.38	32.5919	85.9537	-34.8394
5.39	54.3485	74.3771	-56.8849
5.40	73.0172	61.9315	-57.2041
5.41	88.2171	50.8583	30.1445
5.42	100.4937	39.9855	-66.3291
5.43	108.1950	21.2154	16.8787
5.44	113.0895	3.2021	-47.0827
5.45	118.7178	-17.9633	77.8801
5.46	122.3032	-36.2137	51.6668
5.47	121.9973	-58.1214	-87.1167
5.48	118.6803	-75.3141	-67.7478
5.49	107.0098	-83.1512	-84.1047
5.50	98.6419	-96.2923	-104.1494
5.51	91.5035	-107.7112	254.1023
5.52	77.0381	-111.9341	103.2759
5.53	56.8287	-119.7176	-33.4985
5.54	39.7310	-126.5332	16.4903
5.55	18.0052	-131.4414	-60.6292
5.56	-8.0294	-130.4540	-101.6360
5.57	-37.0900	-121.7401	-107.4060
5.58	-64.9778	-116.1098	-67.3060
5.59	-91.0655	-113.3354	-101.2577
5.60	-108.0281	-102.6929	22.2827
5.61	-123.2905	-83.5295	231.3917
5.62	-129.4380	-62.3111	3.0630
5.63	-137.4528	-38.0539	83.3172
5.64	-148.1073	-14.1572	-48.3665
5.65	-149.9450	5.6901	-192.2890
5.66	-149.5557	32.4899	164.5654
5.67	-148.0916	61.1489	-100.5864
5.68	-145.1187	83.9962	-13.3828
5.69	-138.8094	101.6539	89.9453
5.70	-128.0399	119.0710	192.2211
5.71	-112.8474	131.6130	-150.7003
5.72	-91.1417	141.3047	13.6387
5.73	-69.9908	146.6647	324.8789
5.74	-46.3310	155.0945	-41.9167
5.75	-25.4660	159.8507	82.4383
5.76	-5.2367	152.3831	-203.4600
5.77	17.3365	140.9385	116.6879
5.78	41.5720	132.4122	44.4409
5.79	61.5661	122.7484	-9.5106
5.80	73.0875	111.5918	11.8304
5.81	83.1145	96.6947	-116.4376
5.82	95.1874	84.1809	62.4889
5.83	103.5906	70.9341	143.3970
5.84	108.7615	59.2864	-17.1877
5.85	108.8747	40.5811	-4.5824
5.86	113.2262	26.6587	56.5216
5.87	111.5589	17.1139	118.9141
5.88	109.3769	4.5412	50.2106
5.89	102.7165	-8.0271	-20.8827
5.90	92.1477	-24.3047	60.0309
5.91	76.9990	-40.7489	56.9388
5.92	54.4159	-59.8417	-17.1353
5.93	40.7665	-78.8957	-25.0274
5.94	31.8634	-93.7334	-92.0800
5.95	23.0831	-101.4305	-109.2851
5.96	19.1763	-106.7085	-103.9503
5.97	12.1222	-104.1024	-66.5915
5.98	7.3028	-101.7344	6.4725
5.99	0.0109	-92.3416	-44.1041
6.00	-5.1583	-82.7413	-73.9042
6.01	-9.6408	-78.7078	-191.7392
6.02	-17.4311	-68.6448	62.7223
6.03	-15.5173	-58.7312	74.8595
6.04	-5.0815	-46.0806	220.2153
6.05	-2.3969	-36.4817	22.9116
6.06	3.6114	-28.8565	45.5546
6.07	11.8115	-17.3497	-38.2279
6.08	19.3945	-3.4708	-181.5063
6.09	21.8904	3.9848	45.7081
6.10	22.9391	21.2380	85.3071
6.11	23.4483	37.7495	-55.3000
6.12	23.1372	48.7257	95.1557
6.13	23.6289	60.9327	-104.9833
6.14	25.5821	71.7561	89.0830
6.15	24.4028	83.1088	-158.3926
6.16	21.3736	91.1443	-106.5960
6.17	22.8226	103.6897	-132.2330
6.18	19.2283	113.3569	89.2225
6.19	13.1269	120.0685	19.7397
6.20	10.3020	126.8701	232.8165
6.21	6.5647	126.6380	72.5018
6.22	2.8913	121.6388	-119.7410
6.23	-6.0436	116.4910	-87.8319
6.24	-11.0111	109.6187	90.4356
6.25	-20.9000	98.4011	161.0146
6.26	-28.7885	80.7295	-150.6851
6.27	-34.6226	64.5094	48.1196
6.28	-39.4427	45.9387	7.2114
6.29	-43.6365	33.0626	2.6753
6.30	-52.5138	24.6203	-12.1907
6.31	-62.3284	13.8135	33.2940
6.32	-75.1361	-0.7194	132.6020
6.33	-90.3334	-15.2876	14.3919
6.34	-99.5396	-24.3467	-92.2345
6.35	-102.1702	-31.9215	-54.6765
6.36	-96.9238	-44.5531	122.7806
6.37	-87.7755	-52.9239	-42.3922
6.38	-72.4408	-62.2772	136.4078
6.39	-51.6150	-65.3615	-26.8154
6.40	-25.8688	-73.5545	60.0302
6.41	-4.0472	-78.6186	-55.8979
6.42	24.7748	-87.2214	209.3753
6.43	42.7369	-85.8970	21.6496
6.44	55.9354	-85.1873	64.8126
6.45	71.1563	-77.8009	-50.4924
6.46	85.2751	-69.2178	15.2476
6.47	96.0928	-65.7103	144.7571
6.48	102.0335	-58.5994	95.8515
6.49	102.5450	-51.9921	22.6698
6.50	103.7426	-44.9169	-93.0359
6.51	103.9304	-33.6067	-58.9213
6.52	106.1470	-24.1956	-185.5831
6.53	104.5388	-14.0705	-38.0377
6.54	97.0445	-3.5567	0.9573
6.55	98.2013	11.5088	128.5144
6.56	95.2776	28.0195	29.9850
6.57	85.9210	38.6532	258.4646
6.58	75.2747	51.2143	65.9405
6.59	51.8625	56.6318	-97.5661
6.60	24.0274	55.8340	-51.3957
6.61	-3.3763	60.5706	24.3994
6.62	-25.4650	67.0300	-53.6675
6.63	-49.3322	71.9591	31.3552
6.64	-68.6205	70.6811	89.8967
6.65	-85.6130	63.4566	-135.5640
